state,year,pub_insurance_for_unauth_kids,pub_insurance_lpr_kids,hc_pregnant_unauth,hc_pregnant_lpr,snap_for_immigrants,tuition_equity,financial_aid,e_verify,definition_of_employee,drivers_license,real_id,secure_communities,omnibus,sanctuary_city,annual_score,neg
Arkansas,2019,0,1,1,0,0,1,-1,0,1,-1,-1,0,0,0,1,-3
California,2011,0,1,1,1,1,1,1,1,1,-1,0,0,0,0,7,-1
California,2012,0,1,1,1,1,1,1,1,1,-1,0,0,0,0,7,-1
California,2013,0,1,1,1,1,1,1,1,1,1,0,0,0,1,10,0
California,2014,0,1,1,1,1,1,1,1,1,1,0,0,0,1,10,0
California,2015,0,1,1,1,1,1,1,1,1,1,0,0,0,1,10,0
California,2016,1,1,1,1,1,1,1,1,1,1,0,0,0,1,11,0
California,2017,1,1,1,1,1,1,1,1,1,1,0,-1,0,1,10,-1
California,2018,1,1,1,1,1,1,1,1,1,1,-1,0,0,1,10,-1
California,2019,1,1,1,1,1,1,1,1,1,1,-1,0,0,1,10,-1
Colorado,2011,0,-1,-1,1,0,-1,-1,-1,1,-1,-1,0,0,0,-5,-7
Colorado,2012,0,-1,-1,1,0,-1,-1,-1,1,-1,-1,0,0,0,-5,-7
Colorado,2013,0,-1,-1,1,0,1,-1,-1,1,1,-1,0,0,0,-1,-5
Colorado,2014,0,-1,-1,1,0,1,-1,-1,1,1,-1,0,0,0,-1,-5
Colorado,2015,0,1,-1,1,0,1,-1,-1,1,1,-1,0,0,0,1,-4
Colorado,2016,0,1,-1,1,0,1,-1,-1,1,1,-1,0,0,0,1,-4
Colorado,2017,0,1,-1,1,0,1,-1,-1,1,1,-1,-1,0,0,0,-5
Colorado,2018,0,1,-1,1,0,1,-1,-1,1,1,-1,0,0,0,1,-4
Colorado,2019,0,1,-1,1,0,1,1,-1,1,1,-1,0,0,0,3,-3
Connecticut,2011,0,1,-1,1,1,1,-1,0,0,-1,0,-1,0,0,0,-4
Connecticut,2012,0,1,-1,1,1,1,-1,0,0,-1,-1,-1,0,0,-1,-5
Connecticut,2013,0,1,-1,1,1,1,-1,0,0,1,-1,-1,0,1,2,-4
Connecticut,2014,0,1,-1,1,1,1,-1,0,0,1,-1,-1,0,1,2,-4
Connecticut,2015,0,1,-1,1,1,1,-1,0,0,1,-1,0,0,1,3,-3
Connecticut,2016,0,1,-1,1,1,1,-1,0,0,1,-1,0,0,1,3,-3
Connecticut,2017,0,1,-1,1,1,1,-1,0,0,1,-1,-1,0,1,2,-4
Connecticut,2018,0,1,-1,1,1,1,-1,0,0,1,-1,0,0,1,3,-3
Connecticut,2019,0,1,-1,1,1,1,-1,0,0,1,-1,0,0,1,3,-3
Delaware,2011,0,1,-1,1,0,-1,-1,0,0,-1,-1,-1,0,0,-4,-6
Delaware,2012,0,1,-1,1,0,-1,-1,0,0,-1,-1,-1,0,0,-4,-6
Delaware,2013,0,1,-1,1,0,-1,-1,0,0,-1,-1,-1,0,0,-4,-6
Delaware,2014,0,1,-1,1,0,-1,-1,0,0,-1,-1,-1,0,0,-4,-6
Delaware,2015,0,1,-1,1,0,-1,-1,0,0,1,-1,0,0,0,-1,-4
Delaware,2016,0,1,-1,1,0,-1,-1,0,0,1,-1,0,0,0,-1,-4
Delaware,2017,0,1,-1,1,0,-1,-1,0,0,1,-1,-1,0,0,-2,-5
Delaware,2018,0,1,-1,1,0,-1,-1,0,0,1,-1,0,0,0,-1,-4
Delaware,2019,0,1,-1,1,0,-1,-1,0,0,1,-1,0,0,0,-1,-4
DC,2011,1,1,1,1,0,-1,-1,0,0,-1,0,0,0,0,1,-3
DC,2012,1,1,1,1,0,-1,-1,0,0,-1,0,-1,0,0,0,-4
DC,2013,1,1,1,1,0,-1,-1,0,0,1,0,-1,0,0,2,-3
DC,2014,1,1,1,1,0,-1,-1,0,0,1,0,-1,0,0,2,-3
DC,2015,1,1,1,1,0,-1,-1,0,0,1,-1,0,0,0,2,-3
DC,2016,1,1,1,1,0,-1,-1,0,0,1,-1,0,0,0,2,-3
DC,2017,1,1,1,1,0,-1,-1,0,0,1,-1,-1,0,1,2,-4
DC,2018,1,1,1,1,0,-1,-1,0,0,1,-1,0,0,1,3,-3
DC,2019,1,1,1,1,0,-1,-1,0,0,1,-1,0,0,1,3,-3
Florida,2011,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,0,0,-8,-9
Florida,2012,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,0,0,-8,-9
Florida,2013,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,0,0,-8,-9
Florida,2014,0,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,0,0,-6,-8
Florida,2015,0,-1,-1,-1,0,1,-1,-1,1,-1,-1,0,0,0,-5,-7
Florida,2016,0,1,-1,-1,0,1,-1,-1,1,-1,-1,0,0,0,-3,-6
Florida,2017,0,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,0,0,-4,-7
Florida,2018,0,1,-1,-1,0,1,-1,-1,1,-1,-1,0,0,0,-3,-6
Florida,2019,0,1,-1,-1,0,1,-1,-1,1,-1,-1,0,0,-1,-4,-7
Georgia,2011,0,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,-1,-1,-9,-10
Georgia,2012,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-11,-11
Georgia,2013,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-11,-11
Georgia,2014,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-11,-11
Georgia,2015,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,-10,-10
Georgia,2016,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,-10,-10
Georgia,2017,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-11,-11
Georgia,2018,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,-10,-10
Georgia,2019,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,-10,-10
Hawaii,2011,0,-1,-1,1,0,-1,-1,0,1,-1,1,-1,0,0,-3,-6
Hawaii,2012,0,-1,-1,1,0,-1,-1,0,1,-1,1,-1,0,0,-3,-6
Hawaii,2013,0,-1,-1,1,0,-1,-1,0,1,1,-1,-1,0,0,-3,-6
Hawaii,2014,0,-1,-1,1,0,-1,-1,0,1,1,-1,-1,0,0,-3,-6
Hawaii,2015,0,1,-1,1,0,-1,-1,0,1,1,-1,0,0,0,0,-4
Hawaii,2016,0,1,-1,1,0,-1,-1,0,1,1,-1,0,0,0,0,-4
Hawaii,2017,0,1,-1,1,0,-1,-1,0,1,1,-1,-1,0,0,-1,-5
Hawaii,2018,0,1,-1,1,0,-1,-1,0,1,1,-1,0,0,0,0,-4
Hawaii,2019,0,1,-1,1,0,-1,-1,0,1,1,-1,0,0,0,0,-4
Idaho,2011,0,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,0,0,-7,-8
Idaho,2012,0,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,0,0,-7,-8
Idaho,2013,0,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,0,0,-7,-8
Idaho,2014,0,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,0,0,-7,-8
Idaho,2015,0,-1,-1,-1,0,-1,-1,-1,0,-1,1,0,0,0,-6,-7
Idaho,2016,0,-1,-1,-1,0,-1,-1,-1,0,-1,1,0,0,0,-6,-7
Idaho,2017,0,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,0,0,-7,-8
Idaho,2018,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,0,0,-8,-8
Idaho,2019,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,0,0,-8,-8
Illinois,2011,1,1,1,0,0,1,-1,0,0,-1,1,-1,0,0,2,-3
Illinois,2012,1,1,1,0,0,1,-1,0,0,-1,1,0,0,0,3,-2
Illinois,2013,1,1,1,0,0,1,-1,0,0,1,1,0,0,0,5,-1
Illinois,2014,1,1,1,0,0,1,-1,0,0,1,1,0,0,0,5,-1
Illinois,2015,1,1,1,0,0,1,-1,0,0,1,1,0,0,0,5,-1
Illinois,2016,1,1,1,-1,0,1,-1,0,0,1,1,0,0,0,4,-2
Illinois,2017,1,1,1,-1,0,1,-1,0,0,1,1,-1,0,1,4,-3
Illinois,2018,1,1,1,-1,0,1,-1,0,0,1,1,0,0,1,5,-2
Illinois,2019,1,1,1,-1,0,1,-1,0,0,1,-1,0,0,1,3,-3
Indiana,2011,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-10,-10
Indiana,2012,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-10,-10
Indiana,2013,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-10,-10
Indiana,2014,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-10,-10
Indiana,2015,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,0,-9,-9
Indiana,2016,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,0,-9,-9
Indiana,2017,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-10,-10
Indiana,2018,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,0,-9,-9
Indiana,2019,0,-1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,0,-9,-9
Iowa,2011,0,1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-5,-6
Iowa,2012,0,1,-1,-1,0,-1,-1,0,0,-1,-1,-1,0,0,-6,-7
Iowa,2013,0,1,-1,-1,0,-1,-1,0,0,-1,-1,-1,0,0,-6,-7
Iowa,2014,0,1,-1,-1,0,-1,-1,0,0,-1,-1,-1,0,0,-6,-7
Iowa,2015,0,1,-1,-1,0,-1,-1,0,0,-1,-1,0,0,0,-5,-6
Iowa,2016,0,1,-1,-1,0,-1,-1,0,0,-1,-1,0,0,0,-5,-6
Iowa,2017,0,1,-1,-1,0,-1,-1,0,0,-1,-1,-1,0,0,-6,-7
Iowa,2018,0,1,-1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,-6,-7
Iowa,2019,0,1,-1,-1,0,-1,-1,0,0,-1,-1,0,0,-1,-6,-7
Kansas,2011,0,-1,-1,-1,0,1,-1,0,0,-1,0,-1,0,0,-5,-6
Kansas,2012,0,-1,-1,-1,0,1,-1,0,0,-1,0,-1,0,0,-5,-6
Kansas,2013,0,-1,-1,-1,0,1,-1,0,0,-1,-1,-1,0,0,-6,-7
Kansas,2014,0,-1,-1,-1,0,1,-1,0,0,-1,-1,-1,0,0,-6,-7
Kansas,2015,0,-1,-1,-1,0,1,-1,0,0,-1,-1,0,0,0,-5,-6
Kansas,2016,0,-1,-1,-1,0,1,-1,0,0,-1,-1,0,0,0,-5,-6
Kansas,2017,0,-1,-1,-1,0,1,-1,0,0,-1,-1,-1,0,0,-6,-7
Kansas,2018,0,-1,-1,-1,0,1,-1,0,0,-1,-1,0,0,0,-5,-6
Kansas,2019,0,-1,-1,-1,0,1,-1,0,0,-1,-1,0,0,0,-5,-6
Kentucky,2011,0,-1,-1,-1,0,-1,-1,0,1,-1,0,1,0,0,-4,-6
Kentucky,2012,0,-1,-1,-1,0,-1,-1,0,1,-1,0,1,0,0,-4,-6
Kentucky,2013,0,1,-1,-1,0,-1,-1,0,1,-1,0,1,0,0,-2,-5
Kentucky,2014,0,1,-1,-1,0,-1,-1,0,1,-1,0,1,0,0,-2,-5
Kentucky,2015,0,1,-1,-1,0,1,-1,0,1,-1,0,1,0,0,0,-4
Kentucky,2016,0,1,-1,-1,0,1,-1,0,1,-1,0,1,0,0,0,-4
Kentucky,2017,0,1,-1,-1,0,1,-1,0,1,-1,0,-1,0,0,-2,-5
Kentucky,2018,0,1,-1,-1,0,1,-1,0,1,-1,0,0,0,0,-1,-4
Kentucky,2019,0,1,-1,-1,0,1,-1,0,1,1,-1,0,0,0,0,-4
Louisiana,2011,0,-1,1,0,0,-1,-1,-1,0,-1,1,-1,0,0,-4,-6
Louisiana,2012,0,-1,1,0,0,-1,-1,-1,0,-1,1,-1,0,0,-4,-6
Louisiana,2013,0,-1,1,0,0,-1,-1,-1,0,-1,1,-1,0,0,-4,-6
Louisiana,2014,0,-1,1,0,0,-1,-1,-1,0,-1,1,-1,0,0,-4,-6
Louisiana,2015,0,-1,1,0,0,-1,-1,-1,0,-1,1,0,0,0,-3,-5
Louisiana,2016,0,-1,1,0,0,-1,-1,-1,0,-1,-1,0,0,0,-5,-6
Louisiana,2017,0,-1,1,0,0,-1,-1,-1,0,-1,-1,-1,0,0,-6,-7
Louisiana,2018,0,-1,1,0,0,-1,-1,-1,0,-1,-1,0,0,0,-5,-6
Louisiana,2019,0,-1,1,0,0,-1,-1,-1,0,-1,-1,0,0,0,-5,-6
Maine,2011,0,1,-1,1,1,-1,-1,0,0,-1,1,0,0,0,0,-4
Maine,2012,0,1,-1,1,1,-1,-1,0,0,-1,1,-1,0,0,-1,-5
Maine,2013,0,1,-1,1,1,-1,-1,0,0,-1,1,-1,0,0,-1,-5
Maine,2014,0,1,-1,1,1,-1,-1,0,0,-1,1,-1,0,0,-1,-5
Maine,2015,0,1,-1,1,1,-1,-1,0,0,-1,1,0,0,0,0,-4
Maine,2016,0,1,-1,1,1,-1,-1,0,0,-1,1,0,0,0,0,-4
Maine,2017,0,1,-1,1,1,-1,-1,0,0,-1,1,-1,0,0,-1,-5
Maine,2018,0,1,-1,1,1,-1,-1,0,0,-1,1,0,0,0,0,-4
Maine,2019,0,1,-1,1,1,-1,-1,0,0,-1,-1,0,0,0,-2,-5
Maryland,2011,0,1,-1,1,0,1,-1,0,0,-1,0,-1,0,0,-1,-4
Maryland,2012,0,1,-1,1,0,1,-1,0,0,-1,0,-1,0,0,-1,-4
Maryland,2013,0,1,-1,1,0,1,-1,0,0,1,-1,-1,0,0,0,-4
Maryland,2014,0,1,-1,1,0,1,-1,0,0,1,-1,-1,0,0,0,-4
Maryland,2015,0,1,-1,1,0,1,-1,0,0,1,-1,0,0,0,1,-3
Maryland,2016,0,1,-1,1,0,1,-1,0,0,1,-1,0,0,0,1,-3
Maryland,2017,0,1,-1,1,0,1,-1,0,0,1,-1,-1,0,0,0,-4
Maryland,2018,0,1,-1,1,0,1,1,0,0,1,-1,0,0,0,3,-2
Maryland,2019,0,1,-1,1,0,1,1,0,0,1,-1,0,0,0,3,-2
Massachusetts,2011,1,1,1,1,0,-1,-1,-1,0,-1,0,-1,0,0,-1,-5
Massachusetts,2012,1,1,1,1,0,-1,-1,-1,0,-1,0,0,0,0,0,-4
Massachusetts,2013,1,1,1,1,0,-1,-1,-1,0,-1,0,0,0,0,0,-4
Massachusetts,2014,1,1,1,1,0,-1,-1,-1,0,-1,0,0,0,0,0,-4
Massachusetts,2015,1,1,1,1,0,-1,-1,-1,0,-1,0,0,0,0,0,-4
Massachusetts,2016,1,1,1,1,0,-1,-1,-1,0,-1,0,0,0,0,0,-4
Massachusetts,2017,1,1,1,1,0,-1,-1,-1,0,-1,0,-1,0,1,0,-5
Massachusetts,2018,1,1,1,1,0,-1,-1,-1,0,-1,-1,0,0,1,0,-5
Massachusetts,2019,1,1,1,1,0,-1,-1,-1,0,-1,-1,0,0,1,0,-5
Michigan,2011,0,-1,1,0,0,-1,-1,0,0,-1,1,-1,0,0,-3,-5
Michigan,2012,0,-1,1,0,0,-1,-1,-1,0,-1,1,-1,0,0,-4,-6
Michigan,2013,0,-1,1,0,0,-1,-1,-1,0,-1,1,-1,0,0,-4,-6
Michigan,2014,0,-1,1,0,0,-1,-1,-1,0,-1,1,-1,0,0,-4,-6
Michigan,2015,0,-1,1,0,0,-1,-1,-1,0,-1,1,0,0,0,-3,-5
Michigan,2016,0,-1,1,0,0,-1,-1,-1,0,-1,1,0,0,0,-3,-5
Michigan,2017,0,-1,1,0,0,-1,-1,-1,0,-1,-1,-1,0,0,-6,-7
Michigan,2018,0,-1,1,0,0,-1,-1,-1,0,-1,-1,0,0,0,-5,-6
Michigan,2019,0,-1,1,0,0,-1,-1,-1,0,-1,-1,0,0,0,-5,-6
Minnesota,2011,0,1,1,1,1,-1,-1,-1,0,-1,1,0,0,0,1,-4
Minnesota,2012,0,1,1,1,1,-1,-1,-1,0,-1,1,-1,0,0,0,-5
Minnesota,2013,0,1,1,1,1,1,1,-1,0,-1,1,-1,0,0,4,-3
Minnesota,2014,0,1,1,1,1,1,1,-1,0,-1,1,-1,0,0,4,-3
Minnesota,2015,0,1,1,1,1,1,1,-1,0,-1,1,0,0,0,5,-2
Minnesota,2016,0,1,1,1,1,1,1,-1,0,-1,1,0,0,0,5,-2
Minnesota,2017,0,1,1,1,1,1,1,-1,0,-1,1,-1,0,0,4,-3
Minnesota,2018,0,1,1,1,0,1,1,-1,0,-1,-1,0,0,0,2,-3
Minnesota,2019,0,1,1,1,0,1,1,-1,0,-1,-1,0,0,0,2,-3
Mississippi,2011,0,-1,-1,-1,0,-1,-1,-1,1,-1,0,-1,0,0,-7,-8
Mississippi,2012,0,-1,-1,-1,0,-1,-1,-1,1,-1,0,-1,0,0,-7,-8
Mississippi,2013,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,0,0,-8,-9
Mississippi,2014,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,0,0,-8,-9
Mississippi,2015,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,0,0,-7,-8
Mississippi,2016,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,0,0,-7,-8
Mississippi,2017,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,0,-1,-9,-10
Mississippi,2018,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,0,-1,-8,-9
Mississippi,2019,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,0,-1,-8,-9
Missouri,2011,0,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,0,0,-7,-8
Missouri,2012,0,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,0,0,-7,-8
Missouri,2013,0,-1,-1,-1,0,-1,-1,-1,0,-1,1,-1,0,0,-7,-8
Missouri,2014,0,-1,1,-1,0,-1,-1,-1,0,-1,1,-1,0,0,-5,-7
Missouri,2015,0,-1,1,0,0,-1,-1,-1,0,-1,1,0,0,0,-3,-5
Missouri,2016,0,-1,1,0,0,-1,-1,-1,0,-1,1,0,0,0,-3,-5
Missouri,2017,0,-1,1,0,0,-1,-1,-1,0,-1,1,-1,0,0,-4,-6
Missouri,2018,0,-1,1,0,0,-1,-1,-1,0,-1,1,0,0,0,-3,-5
Missouri,2019,0,-1,1,0,0,-1,-1,-1,0,-1,-1,0,0,0,-5,-6
Montana,2011,0,1,-1,-1,0,-1,-1,0,0,-1,1,-1,0,0,-4,-6
Montana,2012,0,1,-1,-1,0,-1,-1,0,0,-1,1,-1,0,0,-4,-6
Montana,2013,0,1,-1,-1,0,-1,-1,0,0,-1,1,-1,0,0,-4,-6
Montana,2014,0,1,-1,-1,0,-1,-1,0,0,-1,1,-1,0,0,-4,-6
Montana,2015,0,1,-1,-1,0,-1,-1,0,0,-1,1,0,0,0,-3,-5
Montana,2016,0,1,-1,-1,0,-1,-1,0,0,-1,1,0,0,0,-3,-5
Montana,2017,0,1,-1,-1,0,-1,-1,0,0,-1,1,-1,0,0,-4,-6
Montana,2018,0,1,-1,-1,0,-1,-1,0,0,-1,1,0,0,0,-3,-5
Montana,2019,0,1,-1,-1,0,-1,-1,0,0,-1,-1,0,0,0,-5,-6
Nebraska,2011,0,1,-1,1,0,1,-1,-1,0,-1,1,-1,0,0,-1,-5
Nebraska,2012,0,1,1,1,0,1,-1,-1,0,-1,1,-1,0,0,1,-4
Nebraska,2013,0,1,1,1,0,1,-1,-1,0,-1,-1,-1,0,0,-1,-5
Nebraska,2014,0,1,1,1,0,1,-1,-1,0,-1,-1,-1,0,0,-1,-5
Nebraska,2015,0,1,1,1,0,1,-1,-1,0,-1,-1,0,0,0,0,-4
Nebraska,2016,0,1,1,1,0,1,-1,-1,0,-1,-1,0,0,0,0,-4
Nebraska,2017,0,1,1,1,0,1,-1,-1,0,-1,-1,-1,0,0,-1,-5
Nebraska,2018,0,1,1,1,0,1,-1,-1,0,-1,-1,0,0,0,0,-4
Nebraska,2019,0,1,1,1,0,1,-1,-1,0,-1,-1,0,0,0,0,-4
Nevada,2011,0,-1,-1,-1,0,-1,-1,0,1,-1,1,-1,0,0,-5,-7
Nevada,2012,0,-1,-1,-1,0,-1,-1,0,1,-1,1,-1,0,0,-5,-7
Nevada,2013,0,-1,-1,-1,0,-1,-1,0,1,1,1,-1,0,0,-3,-6
Nevada,2014,0,-1,-1,-1,0,-1,-1,0,1,1,1,-1,0,0,-3,-6
Nevada,2015,0,-1,-1,-1,0,-1,-1,0,1,1,-1,0,0,0,-4,-6
Nevada,2016,0,-1,-1,-1,0,-1,-1,0,1,1,-1,0,0,0,-4,-6
Nevada,2017,0,1,-1,-1,0,-1,-1,0,1,1,-1,-1,0,0,-3,-6
Nevada,2018,0,1,-1,-1,0,-1,-1,0,1,1,-1,0,0,0,-2,-5
Nevada,2019,0,1,-1,-1,0,-1,-1,0,1,1,-1,0,0,0,-2,-5
New Hampshire,2011,0,-1,-1,-1,0,-1,-1,0,0,-1,1,0,0,0,-5,-6
New Hampshire,2012,0,-1,-1,-1,0,-1,-1,0,0,-1,1,-1,0,0,-6,-7
New Hampshire,2013,0,-1,-1,-1,0,-1,-1,0,0,-1,1,-1,0,0,-6,-7
New Hampshire,2014,0,-1,-1,-1,0,-1,-1,0,0,-1,1,-1,0,0,-6,-7
New Hampshire,2015,0,-1,-1,-1,0,-1,-1,0,0,-1,1,0,0,0,-5,-6
New Hampshire,2016,0,-1,-1,-1,0,-1,-1,0,0,-1,1,0,0,0,-5,-6
New Hampshire,2017,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,0,0,-8,-8
New Hampshire,2018,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,0,0,0,-7,-7
New Hampshire,2019,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,0,0,0,-7,-7
New Jersey,2011,0,1,1,1,0,-1,-1,0,0,-1,0,0,0,0,0,-3
New Jersey,2012,0,1,1,1,0,-1,-1,0,0,-1,0,-1,0,0,-1,-4
New Jersey,2013,0,1,1,1,0,1,-1,0,0,-1,0,-1,0,0,1,-3
New Jersey,2014,0,1,1,1,0,1,-1,0,0,-1,0,-1,0,0,1,-3
New Jersey,2015,0,1,1,1,0,1,-1,0,0,-1,0,0,0,0,2,-2
New Jersey,2016,0,1,1,1,0,1,-1,0,0,-1,0,0,0,0,2,-2
New Jersey,2017,0,1,1,1,0,1,-1,0,0,-1,0,-1,0,0,1,-3
New Jersey,2018,0,1,1,1,0,1,1,0,0,-1,0,0,0,0,4,-1
New Jersey,2019,0,1,1,1,0,1,1,0,0,1,-1,0,0,1,6,-1
New Mexico,2011,0,1,-1,1,0,1,1,0,0,0,0,-1,0,0,2,-2
New Mexico,2012,0,1,-1,1,0,1,1,0,0,0,0,-1,0,0,2,-2
New Mexico,2013,0,1,-1,1,0,1,1,0,0,0,0,-1,0,0,2,-2
New Mexico,2014,0,1,-1,1,0,1,1,0,0,0,0,-1,0,0,2,-2
New Mexico,2015,0,1,-1,1,0,1,1,0,0,0,-1,0,0,0,2,-2
New Mexico,2016,0,1,-1,1,0,1,1,0,0,0,-1,0,0,0,2,-2
New Mexico,2017,0,1,-1,1,0,1,1,0,0,0,-1,-1,0,0,1,-3
New Mexico,2018,0,1,-1,1,0,1,1,0,0,0,-1,0,0,0,2,-2
New Mexico,2019,0,1,-1,1,0,1,1,0,0,1,-1,0,0,0,3,-2
New York,2011,1,1,1,1,0,1,-1,0,0,-1,0,-1,0,0,2,-3
